"CS_USER__C","CREATEDBYID","CREATEDDATE","EP_USER__C","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP","ACCOUNT_NAME__C","AGE__C","AREA__C","EMAIL__C","ENGINEER_FIRST_NAME__C","ENGINEER_NAME__C","ENGINEER_TYPE__C","EVENTUSER__C","GENKA_YEN__C","GYOUMUITAKU_CHECK__C","HYOUKA_RANK__C","INDEX_KOUMOKU__C","JYOUKEN_POINT__C","KEIKEN_NENSUU__C","KOJIN_JIGYOU_TYPE__C","MOBILE_NUMBER__C","SEX__C","SKILL_SET__C","SYAGAI_MUKE_SKILL__C","SYANAI_ENGINEER_KUBUN__C","SYOKUMU_RIREKI__C","SYOUDAN_KAISHI_JIKAN__C","SYOUDAN_SYUURYOU_JIKAN__C","TEIANKINGAKU__C","TOUROKU_MENDAN_DATE__C","TOUROKU_STATUS__C"
"0052x000002poBzAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBuAAI","a0T2x000000MIdsEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","","","倉本 茂樹","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","0012x00000AIyEsAAL","32.0","埼玉県","muramatsu_shihori@example.com","","倉本 茂樹","個人","","654000.0","false","B","","単価>場所、内容
単価が伴えば。PL兼SEでも構いません。","4.0","個人","090-6624-9032","男性","Java","・PMO、PL経験豊富
・DB管理、C、Java経験豊富
・総じて安定稼働しています（直近案件16年参画）
・IBM系経験豊富","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-17T10:00:00.000Z","2020-06-17T11:00:00.000Z","","2020-06-02","未対応"
"0052x000002poBtAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBuAAI","a0T2x000000MIdtEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","高田 美佳","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyFMAA1","33.0","岐阜県","hasegawa_kazuyuki@example.com","","高田 美佳","個人","","372500.0","false","B","","【先出しNG/緩和します】
単価≧業務内容
・単価：Java-70万、Scala-65万以上（仕入）
・業務内容：Scala＞Java
〈尚可〉
・10時開始","7.0","個人","090-4883-4615","女性","サーバアカウント管理","・Javaでのサーバーサイド開発（~1.8）
・要件定義〜運用保守まで一貫した対応
・JavaScriptでのフロントサイド開発（jQuery, Backbone.js, Handlebars.js）
・その他言語経験（C#, ASP.NET, PHP）
・リーダー経験（１０名程度、スケジュール・タスク管理）","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-22T11:00:00.000Z","2020-06-22T12:00:00.000Z","","2020-06-09","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBuAAI","a0T2x000000MIduEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","","","飯田 えみ","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","0012x00000AIyEaAAL","48.0","福岡県","odajima_mitsuru@example.com","","飯田 えみ","個人","","634000.0","false","B","","場所＝時間＞内容","1.0","個人","090-8951-9985","男性","ネットワーク構築","・詳細設計〜テストまで対応可能
・C#.NET、PHPでの開発経験あり","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-24T19:30:00.000Z","2020-06-24T20:30:00.000Z","","2020-06-18","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBvAAI","a0T2x000000MIdvEAG","false","","0052x000002ke72AAA","2020-07-27T17:23:00.000Z","","","富永 美月","0052x000002ke72AAA","2020-07-27T17:23:00.000Z","0012x00000AIyFtAAL","23.0","青森県","numata_mahiru@example.com","","富永 美月","個人","","498500.0","true","B","","","7.0","法人","090-6343-  86","","Java","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-22T18:00:00.000Z","2020-06-22T19:00:00.000Z","","2020-06-18","未対応"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBvAAI","a0T2x000000MIdwEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","坂本 美佐","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyF2AAL","19.0","岐阜県","takigawa_ukyou@example.com","","坂本 美佐","個人","","475500.0","false","C","","金","13.0","個人","090-1527-6881","男性","C++","・要件定義〜テストまで一貫して対応可能
・.NEtでの開発経験豊富","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-18T18:30:00.000Z","2020-06-18T19:30:00.000Z","","2020-06-13","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poByAAI","a0T2x000000MIdxEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","桜田 菜摘","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyFaAAL","23.0","静岡県","okamoto_hiroaki@example.com","","桜田 菜摘","個人","","598500.0","false","C","","【先出しOK】単価＞＞場所＞＞内容","4.0","個人","080-7158-2306","男性","サーバ構築;Java;販売管理;AWS","・Android-Javaを用いたスマホアプリ開発
・Kotlin実務経験あり
・要件定義（見積もりなど）〜設計〜製造まで一貫して対応可能
・チーム内でのコードレビュー対応など、サブリーダー的立ちまわり多い","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-22T15:00:00.000Z","2020-06-22T16:00:00.000Z","","2020-06-20","他社決"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poByAAI","a0T2x000000MIdyEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:28.000Z","","","高畑 洋介","0052x000002ke72AAA","2020-07-27T17:36:28.000Z","0012x00000AIyFsAAL","27.0","千葉県","okamoto_hiroaki@example.com","","高畑 洋介","個人","","498500.0","false","D","","Ruby案件＝単金","5.0","個人","080-6730-5147","男性","サーバ構築;VB.Net;Java;PHP;Node.js","・要件定義〜テストまで対応可能
・アジャイル、ウォーターフォール経験あり

・Rubyを利用してのサーバーサイドの開発
㊩Ver：〜2.4 
㊩FW：Ruby on Rails（〜5.1）、Sinatra","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-06-30T10:00:00.000Z","2020-06-30T12:00:00.000Z","","2020-06-21","営業中"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poByAAI","a0T2x000000MIdzEAG","false","","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","","","有村 輝信","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","0012x00000AIyFvAAL","22.0","三重県","tomita_masayo@example.com","","有村 輝信","個人","","563500.0","false","B","","","2.0","個人","090-  39-9347","男性","サーバ構築;Java;ネットワーク構築;Explanner;販売管理;OracleDBA","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T19:00:00.000Z","2020-05-25T20:00:00.000Z","","2020-05-18","掘り起こし"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poByAAI","a0T2x000000MIe0EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","杉本 里穂","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyEiAAL","45.0","千葉県","aikawa_kenji@example.com","","杉本 里穂","個人","","351500.0","true","B","","","1.0","法人","080-7573-9606","男性","Java","・JavaScriptによるフロントエンド開発経験豊富
・要件定義〜設計〜","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-28T16:00:00.000Z","2020-05-28T17:00:00.000Z","","2020-05-24","未対応"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poByAAI","a0T2x000000MIe1EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","菅原 隆之介","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyFCAA1","29.0","山梨県","mifune_motoki@example.com","","菅原 隆之介","個人","","485000.0","false","C","","【先出しOK】場所（新宿近辺）＞雰囲気＞＞単価","7.0","個人","080-3314-7171","男性","サーバアカウント管理","・PHPやRailsでのサーバサイド開発
・JavaScriptを用いたフロント開発
・ゲーム業界経験豊富
・新規開発経験豊富","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T20:00:00.000Z","2020-05-25T21:00:00.000Z","","2020-05-13","営業中"
"0052x000002poBuAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poC1AAI","a0T2x000000MIe2EAG","false","","0052x000002ke72AAA","2020-07-27T17:23:02.000Z","","","竹下 美佐子","0052x000002ke72AAA","2020-07-27T17:23:02.000Z","0012x00000AIyFvAAL","16.0","千葉県","haga_aki@example.com","","竹下 美佐子","個人","","333500.0","false","C","","業務内容＞場所＞金額

基本的に、上流工程メイン
Java,.netはソースコードの解読
既存で保守・改修業務であれば開発も対応可","2.0","個人","090-5576- 910","","ネットワーク構築","・上流工程経験豊富
・会計関連、製造業、放送業界の知識あり
・Java、VB.net開発経験あり","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T11:00:00.000Z","2020-05-25T12:00:00.000Z","","2020-05-19","営業中"
"0052x000002poBuAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poC1AAI","a0T2x000000MIe3EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","","","浜本 信輔","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","0012x00000AIyEfAAL","12.0","茨城県","aoki_kaoru@example.com","","浜本 信輔","個人","","655500.0","false","D","","内容＞金額＝時間幅","4.0","個人","090-8797-7246","女性","Java","・要件定義〜テストまで一貫して対応可能
・GO、PHP、Java等多言語での開発経験あり","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-22T19:00:00.000Z","2020-05-22T20:00:00.000Z","","2020-05-08","営業中"
"0052x000002poBuAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poC1AAI","a0T2x000000MIe4EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","","","庄司 亮","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","0012x00000AIyFhAAL","23.0","岐阜県","sakaguchi_hiroyuki@example.com","","庄司 亮","個人","","543000.0","false","A","","別途掘り起こし面談が必要。","8.0","個人","090-6671-6788","男性","C++","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-28T19:00:00.000Z","2020-05-28T20:00:00.000Z","","2020-05-16","掘り起こし"
"0052x000002poBvAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIe5EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","","","西浦 照生","0052x000002ke72AAA","2020-07-27T17:36:30.000Z","0012x00000AIyFJAA1","23.0","静岡県","yoshimura_satoshi@example.com","","西浦 照生","個人","a0l2x000000hp1PAAQ","694000.0","false","A","","場所（1ｈ圏内）＞安定稼働＞はじめてのフリーランスでも働きやすい※稼働者の実績あるところだと安心するかも
AWS環境興味あり。私服だとうれしい","7.0","法人","080-9029- 674","女性","サーバ構築;販売管理;AWS","・Java、Javascriptでの開発経験豊富
・チームリーダー業務の経験あり
・詳細設計〜テスト工程得意","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-22T19:00:00.000Z","2020-05-22T20:00:00.000Z","","2020-05-08","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIe6EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","","","瀬戸 礼子","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","0012x00000AIyF5AAL","21.0","東京都","ayanokouji_natsumi@example.com","","瀬戸 礼子","個人","","542000.0","true","B","","案件があるか","7.0","個人","080-8754-3056","女性","サーバ構築;VB.Net;Java;PHP;Node.js","・COBOLでの開発経験豊富
・要件定義〜テストまで一貫して対応可能
・DB設計、構築経験多数","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-26T18:30:00.000Z","2020-05-26T19:30:00.000Z","","2020-05-22","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIe7EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:28.000Z","","","今西 あい","0052x000002ke72AAA","2020-07-27T17:36:28.000Z","0012x00000AIyEoAAL","31.0","神奈川県","umino_kousuke@example.com","","今西 あい","個人","","419500.0","false","B","","","10.0","個人","090- 525-9687","女性","サーバ構築;販売管理;OracleDBA;AWS","・（例）スマホ（iOS/Android）開発経験豊富
・（例）要件定義〜運用保守まで一貫した対応
・（例）Javaでのサーバーサイド開発","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-21T19:00:00.000Z","2020-05-21T20:00:00.000Z","","2020-05-08","掘り起こし"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIe8EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","","","秋山 美里","0052x000002ke72AAA","2020-07-27T17:36:23.000Z","0012x00000AIyFoAAL","16.0","千葉県","umedu_takashi@example.com","","秋山 美里","個人","","481500.0","false","B","","できればモバイルか
PHPをより伸ばせる案件","7.0","個人","090-3122-2121","男性","システムリスク セキュリティ管理;サーバ構築;Java;ネットワーク構築;OracleDBA;PHP;AWS","・Android,iOS経験豊富
・Java,PHPでの開発経験
・英文メール経験","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T20:00:00.000Z","2020-05-25T21:00:00.000Z","","2020-05-22","営業中"
"0052x000002ke72AAA","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIe9EAG","false","","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","","","増井 拓郎","0052x000002ke72AAA","2020-07-27T17:36:32.000Z","0012x00000AIyF1AAL","29.0","富山県","maehara_risa@example.com","","増井 拓郎","個人","","449000.0","false","B","","","3.0","個人","080-7874-8133","男性","サーバ構築;Java;ネットワーク構築;Explanner;販売管理;OracleDBA","","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T16:00:00.000Z","2020-05-25T17:00:00.000Z","","2020-05-18","掘り起こし"
"0052x000002poBwAAI","0052x000002ke72AAA","2020-07-27T03:13:54.000Z","0052x000002poBxAAI","a0T2x000000MIeAEAW","false","","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","","","唐沢 綾","0052x000002ke72AAA","2020-07-27T17:36:26.000Z","0012x00000AIyEeAAL","22.0","静岡県","tsuda_nobuhiko@example.com","","唐沢 綾","個人","","636000.0","false","C","","金額＞＞＞内容（NWインテグレーション案件）＞場所","13.0","法人","080- 440-5638","男性","Java","＜取り扱い機器＞
ルータ、スイッチ、ファイアウォール、ロードバランサ、WLAN、WAN最適化装置など
＜技術＞
ダイナミックルーティング、IPsecVPN、SSL-VPN、QoS、PBR、 パケットフィルタリング
L4/L7ロードバランシング、LAG、Spanning-treeなど

プリセールス、課題管理、国内ベンダーと現地法人を使用したPJ経験から、
ベンダーコントロール能力およびプロジェクト管理能力を保有","CE","フリーランス時代は得意のXXXに関するプロジェクト中心に活動をし、YYプロジェクト等の業務システムに関する開発・検証を主に行ってきた。得意分野としては・・・","2020-05-25T13:00:00.000Z","2020-05-25T14:00:00.000Z","","2020-05-21","営業中"
